episode,method,seed,team_size,communication_mode,step,robot_id,previous_x,previous_y,preferred_x,preferred_y,proposed_x,proposed_y,actual_x,actual_y,path_increment,cumulative_robot_path,wait_flag,dynamic_blocked,static_blocked,consecutive_wait_steps,deadlock_flag,recovered_flag,revisit_flag,cross_robot_overlap_flag
24,LiteDARE-Full-ContactAware,2402082,4,compressed,0,0,-48.0,12.0,-48.0,12.0,-48.0,12.0,-48.0,12.0,0.0,0.0,True,False,False,0,False,False,False,False
24,LiteDARE-Full-ContactAware,2402082,4,compressed,0,1,12.0,-48.0,12.0,-48.0,12.0,-48.0,12.0,-48.0,0.0,0.0,True,False,False,0,False,False,False,False
24,LiteDARE-Full-ContactAware,2402082,4,compressed,0,2,4.0,16.0,4.0,16.0,4.0,16.0,4.0,16.0,0.0,0.0,True,False,False,0,False,False,False,False
24,LiteDARE-Full-ContactAware,2402082,4,compressed,0,3,-44.0,-20.0,-44.0,-20.0,-44.0,-20.0,-44.0,-20.0,0.0,0.0,True,False,False,0,False,False,False,False
24,LiteDARE-Full-ContactAware,2402082,4,compressed,1,0,-48.0,12.0,-40.0,8.0,-40.0,8.0,-40.0,8.0,8.9442720413208,8.9442720413208,False,False,False,0,False,False,False,False
24,LiteDARE-Full-ContactAware,2402082,4,compressed,1,1,12.0,-48.0,12.0,-52.0,12.0,-52.0,12.0,-52.0,4.0,4.0,False,False,False,0,False,False,False,False
24,LiteDARE-Full-ContactAware,2402082,4,compressed,1,2,4.0,16.0,-4.0,16.0,-4.0,16.0,-4.0,16.0,8.0,8.0,False,False,False,0,False,False,False,False
24,LiteDARE-Full-ContactAware,2402082,4,compressed,1,3,-44.0,-20.0,-44.0,-12.0,-44.0,-12.0,-44.0,-12.0,8.0,8.0,False,False,False,0,False,False,False,False
24,LiteDARE-Full-ContactAware,2402082,4,compressed,2,0,-40.0,8.0,-48.0,0.0,-48.0,0.0,-48.0,0.0,11.313708305358887,20.257980346679688,False,False,False,0,False,False,False,False
24,LiteDARE-Full-ContactAware,2402082,4,compressed,2,1,12.0,-52.0,4.0,-52.0,4.0,-52.0,4.0,-52.0,8.0,12.0,False,False,False,0,False,False,False,False
24,LiteDARE-Full-ContactAware,2402082,4,compressed,2,2,-4.0,16.0,-12.0,16.0,-12.0,16.0,-12.0,16.0,8.0,16.0,False,False,False,0,False,False,False,False
24,LiteDARE-Full-ContactAware,2402082,4,compressed,2,3,-44.0,-12.0,-44.0,-4.0,-44.0,-4.0,-44.0,-4.0,8.0,16.0,False,False,False,0,False,False,False,False
24,LiteDARE-Full-ContactAware,2402082,4,compressed,3,0,-48.0,0.0,-56.0,-8.0,-56.0,-8.0,-56.0,-8.0,11.313708305358887,31.571688652038574,False,False,False,0,False,False,False,False
24,LiteDARE-Full-ContactAware,2402082,4,compressed,3,1,4.0,-52.0,-4.0,-48.0,-4.0,-48.0,-4.0,-48.0,8.9442720413208,20.9442720413208,False,False,False,0,False,False,False,False
24,LiteDARE-Full-ContactAware,2402082,4,compressed,3,2,-12.0,16.0,-20.0,16.0,-20.0,16.0,-20.0,16.0,8.0,24.0,False,False,False,0,False,False,False,False
24,LiteDARE-Full-ContactAware,2402082,4,compressed,3,3,-44.0,-4.0,-40.0,-12.0,-40.0,-12.0,-40.0,-12.0,8.9442720413208,24.9442720413208,False,False,False,0,False,False,False,False
24,LiteDARE-Full-ContactAware,2402082,4,compressed,4,0,-56.0,-8.0,-56.0,-16.0,-56.0,-16.0,-56.0,-16.0,8.0,39.571688652038574,False,False,False,0,False,False,False,False
24,LiteDARE-Full-ContactAware,2402082,4,compressed,4,1,-4.0,-48.0,-8.0,-40.0,-8.0,-40.0,-8.0,-40.0,8.9442720413208,29.8885440826416,False,False,False,0,False,False,False,False
24,LiteDARE-Full-ContactAware,2402082,4,compressed,4,2,-20.0,16.0,-16.0,8.0,-16.0,8.0,-16.0,8.0,8.9442720413208,32.9442720413208,False,False,False,0,False,False,False,False
24,LiteDARE-Full-ContactAware,2402082,4,compressed,4,3,-40.0,-12.0,-40.0,-20.0,-40.0,-20.0,-40.0,-20.0,8.0,32.9442720413208,False,False,False,0,False,False,False,False
24,LiteDARE-Full-ContactAware,2402082,4,compressed,5,0,-56.0,-16.0,-56.0,-8.0,-56.0,-12.0,-56.0,-12.0,4.0,43.571688652038574,False,False,False,0,False,False,False,False
24,LiteDARE-Full-ContactAware,2402082,4,compressed,5,1,-8.0,-40.0,-16.0,-32.0,-16.0,-32.0,-16.0,-32.0,11.313708305358887,41.20225238800049,False,False,False,0,False,False,False,False
24,LiteDARE-Full-ContactAware,2402082,4,compressed,5,2,-16.0,8.0,-16.0,0.0,-16.0,0.0,-16.0,0.0,8.0,40.9442720413208,False,False,False,0,False,False,False,False
24,LiteDARE-Full-ContactAware,2402082,4,compressed,5,3,-40.0,-20.0,-32.0,-20.0,-32.0,-20.0,-32.0,-20.0,8.0,40.9442720413208,False,False,False,0,False,False,False,False
24,LiteDARE-Full-ContactAware,2402082,4,compressed,6,0,-56.0,-12.0,-48.0,-4.0,-48.0,-4.0,-48.0,-4.0,11.313708305358887,54.88539695739746,False,False,False,0,False,False,False,False
24,LiteDARE-Full-ContactAware,2402082,4,compressed,6,1,-16.0,-32.0,-16.0,-24.0,-16.0,-24.0,-16.0,-24.0,8.0,49.20225238800049,False,False,False,0,False,False,False,False
24,LiteDARE-Full-ContactAware,2402082,4,compressed,6,2,-16.0,0.0,-8.0,-4.0,-8.0,-4.0,-8.0,-4.0,8.9442720413208,49.8885440826416,False,False,False,0,False,False,False,False
24,LiteDARE-Full-ContactAware,2402082,4,compressed,6,3,-32.0,-20.0,-24.0,-20.0,-24.0,-20.0,-24.0,-20.0,8.0,48.9442720413208,False,False,False,0,False,False,False,False
24,LiteDARE-Full-ContactAware,2402082,4,compressed,7,0,-48.0,-4.0,-40.0,-12.0,-40.0,-12.0,-40.0,-12.0,11.313708305358887,66.19910526275635,False,False,False,0,False,False,True,True
24,LiteDARE-Full-ContactAware,2402082,4,compressed,7,1,-16.0,-24.0,-20.0,-16.0,-20.0,-16.0,-20.0,-16.0,8.9442720413208,58.14652442932129,False,False,False,0,False,False,False,False
